Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
149064,I-naturalist,2021,Coccinella transversoguttata,40.6672833333,-106.3314138889,3.0,Colorado,"(40.6672833333, -106.3314138889)"
149066,I-naturalist,2021,Coccinella transversoguttata,38.8701133333,-106.9866633333,4.0,Colorado,"(38.8701133333, -106.9866633333)"
149075,I-naturalist,2021,Coccinella transversoguttata,37.4386121,-105.8030889997,0.0,Colorado,"(37.4386121, -105.8030889997)"
149111,I-naturalist,2021,Coccinella transversoguttata,37.432095,-105.7844383333,3.0,Colorado,"(37.432095, -105.7844383333)"
149525,I-naturalist,2021,Coccinella transversoguttata,43.3572232913,-116.9536729173,10.0,Idaho,"(43.3572232913, -116.9536729173)"
149573,I-naturalist,2021,Coccinella transversoguttata,37.6414412667,-107.4271322,0.0,Colorado,"(37.6414412667, -107.4271322)"
149574,I-naturalist,2021,Coccinella transversoguttata,37.634162145,-107.4260232183,0.0,Colorado,"(37.634162145, -107.4260232183)"
149604,I-naturalist,2021,Coccinella transversoguttata,40.8554638889,-109.0233611111,4.0,Colorado,"(40.8554638889, -109.0233611111)"
149609,I-naturalist,2021,Coccinella transversoguttata,40.7655666667,-107.3514638889,4.0,Colorado,"(40.7655666667, -107.3514638889)"
149610,I-naturalist,2021,Coccinella transversoguttata,40.7655916667,-107.3515916667,5.0,Colorado,"(40.7655916667, -107.3515916667)"
149611,I-naturalist,2021,Coccinella transversoguttata,39.0054638833,-107.0308388333,8.0,Colorado,"(39.0054638833, -107.0308388333)"
